TEAM 1,TEAM 2,DIVISION,DATE,TIME,COURT,REF
A-03,A-05,ADVANCED,Sep 18 26,10:00 PM,7,7
A-07,A-05,ADVANCED,Sep 18 26,10:45 PM,7,3
A-13,A-18,ADVANCED,Sep 18 26,7:00 PM,8,11
A-18,A-11,ADVANCED,Sep 18 26,7:45 PM,8,13
A-13,A-11,ADVANCED,Sep 18 26,8:30 PM,8,18
A-06,A-08,ADVANCED,Sep 18 26,9:15 PM,8,1
A-08,A-01,ADVANCED,Sep 18 26,10:00 PM,8,6
A-06,A-01,ADVANCED,Sep 18 26,10:45 PM,8,8
C-10,C-17,COMPETITIVE,Sep 18 26,7:00 PM,9,15
C-17,C-15,COMPETITIVE,Sep 18 26,7:45 PM,9,10
C-10,C-15,COMPETITIVE,Sep 18 26,8:30 PM,9,17
C-04,C-02,COMPETITIVE,Sep 18 26,9:15 PM,9,9
C-02,C-09,COMPETITIVE,Sep 18 26,10:00 PM,9,4
C-04,C-09,COMPETITIVE,Sep 18 26,10:45 PM,9,2
C-16,C-12,COMPETITIVE,Sep 18 26,7:00 PM,10,14
C-12,C-14,COMPETITIVE,Sep 18 26,7:45 PM,10,16
C-16,C-14,COMPETITIVE,Sep 18 26,8:30 PM,10,12
C-07,C-03,COMPETITIVE,Sep 18 26,9:15 PM,10,5
C-03,C-05,COMPETITIVE,Sep 18 26,10:00 PM,10,7
C-07,C-05,COMPETITIVE,Sep 18 26,10:45 PM,10,3
C-13,C-18,COMPETITIVE,Sep 18 26,7:00 PM,11,11
C-18,C-11,COMPETITIVE,Sep 18 26,7:45 PM,11,13
C-13,C-11,COMPETITIVE,Sep 18 26,8:30 PM,11,18
C-06,C-08,COMPETITIVE,Sep 18 26,9:15 PM,11,1
C-08,C-01,COMPETITIVE,Sep 18 26,10:00 PM,11,6
C-06,C-01,COMPETITIVE,Sep 18 26,10:45 PM,11,8
S-13,S-18,SKILLED,Sep 18 26,7:00 PM,12,11
S-18,S-11,SKILLED,Sep 18 26,7:45 PM,12,13
S-13,S-11,SKILLED,Sep 18 26,8:30 PM,12,18
S-06,S-08,SKILLED,Sep 18 26,9:15 PM,12,1
S-08,S-01,SKILLED,Sep 18 26,10:00 PM,12,6
S-06,S-01,SKILLED,Sep 18 26,10:45 PM,12,8
I-05,I-05,INTERMEDIATE,Sep 18 26,7:00 PM,13,I2
I-12,I-12,INTERMEDIATE,Sep 18 26,7:45 PM,13,I5
I-05,I-05,INTERMEDIATE,Sep 18 26,8:30 PM,13,I12
I-15,I-15,INTERMEDIATE,Sep 18 26,9:15 PM,13,I8
I-06,I-06,INTERMEDIATE,Sep 18 26,10:00 PM,13,I15
I-15,I-15,INTERMEDIATE,Sep 18 26,10:45 PM,13,I6
I-04,I-04,INTERMEDIATE,Sep 18 26,7:00 PM,14,I7
I-09,I-09,INTERMEDIATE,Sep 18 26,7:45 PM,14,I4
I-04,I-04,INTERMEDIATE,Sep 18 26,8:30 PM,14,I9
I-13,I-13,INTERMEDIATE,Sep 18 26,9:15 PM,14,I3
I-11,I-11,INTERMEDIATE,Sep 18 26,10:00 PM,14,I13
I-13,I-13,INTERMEDIATE,Sep 18 26,10:45 PM,14,I11
I-01,I-01,INTERMEDIATE,Sep 18 26,7:00 PM,15,I10
I-14,I-14,INTERMEDIATE,Sep 18 26,7:45 PM,15,I1
I-01,I-01,INTERMEDIATE,Sep 18 26,8:30 PM,15,I14
R-04,R-02,RECREATIONAL,Sep 18 26,9:15 PM,15,9
R-02,R-09,RECREATIONAL,Sep 18 26,10:00 PM,15,4
R-04,R-09,RECREATIONAL,Sep 18 26,10:45 PM,15,2
R-06,R-01,RECREATIONAL,Sep 18 26,7:00 PM,16,8
R-01,R-08,RECREATIONAL,Sep 18 26,7:45 PM,16,6
R-06,R-08,RECREATIONAL,Sep 18 26,8:30 PM,16,1
R-05,R-03,RECREATIONAL,Sep 18 26,9:15 PM,16,7
R-03,R-07,RECREATIONAL,Sep 18 26,10:00 PM,16,5
R-05,R-07,RECREATIONAL,Sep 18 26,10:45 PM,16,3
E-04,E-02,ELITE,Sep 25 26,7:00 PM,4,1
E-02,E-01,ELITE,Sep 25 26,7:45 PM,4,4
E-04,E-01,ELITE,Sep 25 26,8:30 PM,4,2
E-06,E-05,ELITE,Sep 25 26,9:15 PM,4,3
E-05,E-03,ELITE,Sep 25 26,10:00 PM,4,6
E-06,E-03,ELITE,Sep 25 26,10:45 PM,4,5
P-01,P-02,POWER,Sep 25 26,7:00 PM,2,3
P-02,P-03,POWER,Sep 25 26,7:45 PM,2,1
P-01,P-03,POWER,Sep 25 26,8:30 PM,2,2
P-09,P-07,POWER,Sep 25 26,7:00 PM,3,8
P-07,P-08,POWER,Sep 25 26,7:45 PM,3,9
P-09,P-08,POWER,Sep 25 26,8:30 PM,3,7
P-06,P-04,POWER,Sep 25 26,9:15 PM,3,5
P-04,P-05,POWER,Sep 25 26,10:00 PM,3,6
P-06,P-05,POWER,Sep 25 26,10:45 PM,3,4
A-05,A-16,ADVANCED,Sep 25 26,7:00 PM,1,4
A-16,A-04,ADVANCED,Sep 25 26,7:45 PM,1,5
A-05,A-04,ADVANCED,Sep 25 26,8:30 PM,1,16
A-13,A-07,ADVANCED,Sep 25 26,9:15 PM,1,18
A-07,A-18,ADVANCED,Sep 25 26,10:00 PM,1,13
A-13,A-18,ADVANCED,Sep 25 26,10:45 PM,1,7
S-05,S-16,SKILLED,Sep 25 26,7:00 PM,5,4
S-16,S-04,SKILLED,Sep 25 26,7:45 PM,5,5
S-05,S-04,SKILLED,Sep 25 26,8:30 PM,5,16
S-13,S-07,SKILLED,Sep 25 26,9:15 PM,5,18
S-07,S-18,SKILLED,Sep 25 26,10:00 PM,5,13
S-13,S-18,SKILLED,Sep 25 26,10:45 PM,5,7
S-10,S-03,SKILLED,Sep 25 26,7:00 PM,6,9
S-03,S-09,SKILLED,Sep 25 26,7:45 PM,6,10
